RunID,Experiment,Round,Sparsity,Accuracy,GatePassed,GateReasons,Latency_BS1,Throughput_BS1,Throughput_BS32
20260104-183747-d69a9e,dense_baselines_mnist,0,0.0,98.94,True,Baseline,0.0,0.0,0.0
20260104-183902-2dc0ea,imp_mnist,0,0.0,98.94,True,Baseline,0.0,0.0,0.0
20260104-183902-2dc0ea,imp_mnist,1,0.0,98.6,False,,0.0,0.0,0.0
20260104-183902-2dc0ea,imp_mnist,2,0.0,98.91,False,,0.0,0.0,0.0
20260104-183902-2dc0ea,imp_mnist,3,0.0,99.0,False,,0.0,0.0,0.0
20260104-193232-d1f92c,imp_mnist_v2,0,0.0,98.94,True,All signals within thresholds,1.0382199980085716,963.1869949703512,6397.281162358811
20260104-193232-d1f92c,imp_mnist_v2,1,0.19999949985329035,98.75,True,All signals within thresholds,1.2430149945430458,804.4955245029989,4400.545943750441
20260104-193232-d1f92c,imp_mnist_v2,2,0.3599989330203527,98.8,True,All signals within thresholds,1.2290899991057813,813.6100698301551,5991.942714533684
20260104-193232-d1f92c,imp_mnist_v2,3,0.48799897970071215,98.98,True,All signals within thresholds,1.9401850033318624,515.4147662633764,5084.049659458326
20260104-193328-ff454e,imp_mnist_v3,0,0.0,98.94,True,All signals within thresholds,0.869935002992861,1149.5111664201036,6466.926222417476
20260104-193328-ff454e,imp_mnist_v3,1,0.19999949985329035,98.75,True,All signals within thresholds,1.273944991407916,784.9632493902564,4848.1175668079
20260104-193328-ff454e,imp_mnist_v3,2,0.3599989330203527,98.75,True,All signals within thresholds,0.6187449966091663,1616.1746850159268,9194.200160654718
20260104-193328-ff454e,imp_mnist_v3,3,0.48799897970071215,98.68,False,Loss delta 36.61% exceeds max 10.00%,0.638795000850223,1565.4474419321073,8672.650798500696
